"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"Município","5219803","12307",11272,5928,5344,3145,5981,2146,1564,2794,986
2015,"Município","5219902","6341",6120,3147,2973,1433,3211,1476,686,1580,707
2015,"Município","5220009","12070",10257,5274,4983,3089,5526,1642,1585,2669,729
2015,"Município","5220058","1597",1689,843,846,353,861,475,170,447,229
2015,"Município","5220108","32491",30034,14731,15303,6178,16744,7112,3073,8552,3678
2015,"Município","5220157","4980",4617,2334,2283,1187,2537,893,622,1237,424
2015,"Município","5220207","22728",22283,11391,10892,5251,12356,4676,2504,6106,2282
2015,"Município","5220264","3987",3757,1944,1813,872,1998,887,440,963,410
2015,"Município","5220280","2062",1991,1000,991,404,1068,519,191,550,250
2015,"Município","5220405","19110",17088,8866,8222,3699,9795,3594,1778,4676,1768
2015,"Município","5220454","100367",84443,42211,42232,23379,50199,10865,11350,25170,5712
2015,"Município","5220504","8147",7481,3970,3511,1776,4206,1499,852,1973,686
2015,"Município","5220603","20233",19089,9807,9282,4500,10598,3991,2201,5127,1954
2015,"Município","5220686","6834",6514,3303,3211,1877,3556,1081,909,1753,549
2015,"Município","5220702","2970",2825,1519,1306,779,1504,542,360,691,255
2015,"Município","5221007","3626",3541,1766,1775,612,1934,995,312,963,500
2015,"Município","5221080","3290",3016,1542,1474,962,1530,524,484,756,234
2015,"Município","5221197","7389",6561,3346,3215,1787,3672,1102,829,1836,550
2015,"Município","5221304","2898",2819,1424,1395,582,1476,761,298,750,347
2015,"Município","5221403","117454",104488,51445,53043,25841,59973,18674,12676,30381,9986
2015,"Município","5221452","3562",3452,1784,1668,827,1729,896,415,834,419
2015,"Município","5221502","4857",4839,2431,2408,969,2545,1325,458,1301,649
2015,"Município","5221551","4904",4399,2338,2061,1174,2530,695,539,1215,307
2015,"Município","5221577","2973",2933,1525,1408,735,1496,702,361,727,320
2015,"Município","5221601","39483",36929,18437,18492,8763,20388,7778,4400,10122,3970
2015,"Município","5221700","14190",13826,7006,6820,2952,7513,3361,1412,3671,1737
2015,"Município","5221809","3153",3074,1562,1512,665,1580,829,317,786,409
2015,"Município","5221858","153255",132982,64624,68358,37191,80541,15250,18572,41759,8027
2015,"Município","5221908","3827",3659,1852,1807,796,1863,1000,394,933,480
2015,"Município","5222005","13456",12548,6297,6251,3001,7099,2448,1500,3527,1224
2015,"Município","5222054","8171",7371,3873,3498,1789,4332,1250,872,2037,589
2015,"Município","5222203","5495",4735,2588,2147,1403,2734,598,679,1211,257
2015,"Município","5222302","5578",5145,2689,2456,1369,2637,1139,684,1269,503
